order_id,product_id,store_id,product_name,product_category,city,date_of_sale,quantity_sold,sales_amount
78,18,1,PixelPulse,Creative & Design Tools,Tokyo,2/8/2022,6,350.98
79,33,1,BinaryBard,Software Development Tools,Tokyo,2/9/2022,6,186.16
80,27,2,ScriptSeeker,Software Development Tools,Osaka,2/9/2022,2,168.07
81,50,1,MethodMajesty,Educational Tools,Tokyo,2/10/2022,8,457.37
82,93,2,DataDream Pro,Data Analysis & Management,Osaka,2/10/2022,7,215.69
83,65,2,SyntaxSeeker,Software Development Tools,Osaka,2/11/2022,3,175.63
84,7,1,LogicLoom,Software Development Tools,Tokyo,2/11/2022,4,401.07
85,92,2,EchoElite Pro,Technology & Gadgets,Osaka,2/12/2022,2,224.84
86,63,2,ClassCraft,Educational Tools,Osaka,2/12/2022,3,238.13
87,86,1,CodeCatalyst,Software Development Tools,Tokyo,2/13/2022,4,29.11
88,63,2,ClassCraft,Educational Tools,Osaka,2/13/2022,6,299.46
89,15,2,LoopLark,Creative & Design Tools,Osaka,2/14/2022,5,265.87
90,53,1,BinaryBlaze,Technology & Gadgets,Tokyo,2/14/2022,7,51.89
91,96,2,FunctionFleet Pro,Software Development Tools,Osaka,2/15/2022,3,322.28
92,52,1,CodeComet,Software Development Tools,Tokyo,2/15/2022,2,262.96
93,30,3,SyntaxSail,Software Development Tools,Yokohama,2/16/2022,1,205.42
94,19,2,MethodMingle,Educational Tools,Osaka,2/16/2022,7,132.95
95,90,1,ModuleMagic,Technology & Gadgets,Tokyo,2/17/2022,7,219.87
96,12,1,BitBard,Software Development Tools,Tokyo,2/17/2022,1,94.96
97,1,3,CodeNest IDE,Software Development Tools,Yokohama,2/18/2022,2,127.53
98,48,1,DataDynamo,Data Analysis & Management,Tokyo,2/18/2022,8,467.84
99,1,1,CodeNest IDE,Software Development Tools,Tokyo,2/19/2022,7,331.92
100,69,2,BitBard Plus,Software Development Tools,Osaka,2/19/2022,7,33.46
101,26,3,AlgoAria,Technology & Gadgets,Yokohama,2/20/2022,5,68.94
102,29,2,PixelPioneer,Creative & Design Tools,Osaka,2/20/2022,5,56.21
103,94,2,SyntaxStar Plus,Software Development Tools,Osaka,2/21/2022,4,95.96
104,16,2,StringScribe,Software Development Tools,Osaka,2/21/2022,5,241.98
105,33,2,BinaryBard,Software Development Tools,Osaka,2/22/2022,5,205.27
106,10,2,CircuitScribe,Creative & Design Tools,Osaka,2/22/2022,5,444.36
107,1,1,CodeNest IDE,Software Development Tools,Tokyo,2/23/2022,4,311.72
108,52,3,CodeComet,Software Development Tools,Yokohama,2/23/2022,3,256.51
109,80,3,FlowFleet,Technology & Gadgets,Yokohama,2/24/2022,2,23.07
110,32,3,CodeCruise,Software Development Tools,Yokohama,2/24/2022,4,291.94
111,50,3,MethodMajesty,Educational Tools,Yokohama,2/25/2022,1,234.53
112,51,3,FlowFusion,Technology & Gadgets,Yokohama,2/25/2022,5,316.66
113,65,1,SyntaxSeeker,Software Development Tools,Tokyo,2/26/2022,8,453.5
114,44,1,SyntaxStar,Software Development Tools,Tokyo,2/26/2022,2,29.17
115,35,3,StringStream,Software Development Tools,Yokohama,2/27/2022,1,331.24
116,93,2,DataDream Pro,Data Analysis & Management,Osaka,2/27/2022,2,137.77
117,75,1,VarVoyager,Educational Tools,Tokyo,2/28/2022,8,370.11
118,7,2,LogicLoom,Software Development Tools,Osaka,2/28/2022,5,180.69
119,21,1,LambdaLuxe,Educational Tools,Tokyo,3/1/2022,9,278.47
120,73,3,DevDrift,Software Development Tools,Yokohama,3/1/2022,1,368.43
121,24,3,CodeCanvas,Software Development Tools,Yokohama,3/2/2022,5,126.95
122,36,2,ModuleMajesty,Technology & Gadgets,Osaka,3/2/2022,1,390.35
123,55,1,VarVenture,Educational Tools,Tokyo,3/3/2022,7,379.64
124,30,1,SyntaxSail,Software Development Tools,Tokyo,3/3/2022,1,257.55
125,89,2,StringStream Pro,Software Development Tools,Osaka,3/4/2022,3,200.71
126,12,1,BitBard,Software Development Tools,Tokyo,3/4/2022,9,425
127,9,3,DevDive,Software Development Tools,Yokohama,3/5/2022,4,290.94
128,16,1,StringScribe,Software Development Tools,Tokyo,3/5/2022,5,153.7
129,25,3,LogicLantern,Software Development Tools,Yokohama,3/6/2022,5,378.58
130,23,1,BinaryBloom,Creative & Design Tools,Tokyo,3/6/2022,7,54.76
131,42,2,FlowFlare,Technology & Gadgets,Osaka,3/7/2022,7,497.87
132,5,3,SyntaxSage,Software Development Tools,Yokohama,3/7/2022,7,277.46
133,75,2,VarVoyager,Educational Tools,Osaka,3/8/2022,9,383.06
134,17,1,DataDrift,Data Analysis & Management,Tokyo,3/8/2022,6,51.28
135,66,1,ModuleMuse Pro,Creative & Design Tools,Tokyo,3/9/2022,5,124.32
136,13,2,ModuleMuse,Creative & Design Tools,Osaka,3/9/2022,9,412.61
137,8,1,FlowForge,Technology & Gadgets,Tokyo,3/10/2022,1,441.26
138,17,3,DataDrift,Data Analysis & Management,Yokohama,3/10/2022,7,493
139,4,2,ByteBreeze,Creative & Design Tools,Osaka,3/11/2022,3,390.71
140,54,3,CircuitCanvas,Creative & Design Tools,Yokohama,3/11/2022,3,64.55
141,67,1,EchoEssence,Technology & Gadgets,Tokyo,3/12/2022,2,239.63
142,58,1,DevDynamo,Software Development Tools,Tokyo,3/12/2022,9,374.58
143,3,1,AlgoCraft,Creative & Design Tools,Tokyo,3/13/2022,9,193.69
144,25,1,LogicLantern,Software Development Tools,Tokyo,3/13/2022,6,223.79
145,85,3,CircuitCraft,Creative & Design Tools,Yokohama,3/14/2022,5,134
146,58,1,DevDynamo,Software Development Tools,Tokyo,3/14/2022,5,31.35
147,19,1,MethodMingle,Educational Tools,Tokyo,3/15/2022,2,91.5
148,49,2,StringSage,Software Development Tools,Osaka,3/15/2022,1,317.45
149,3,3,AlgoCraft,Creative & Design Tools,Yokohama,3/16/2022,9,458.35
150,74,2,DataDive,Data Analysis & Management,Osaka,3/16/2022,8,313.81
151,8,2,FlowForge,Technology & Gadgets,Osaka,3/17/2022,4,237.2
152,58,2,DevDynamo,Software Development Tools,Osaka,3/17/2022,5,487.32
153,73,1,DevDrift,Software Development Tools,Tokyo,3/18/2022,5,408.66
154,64,3,LogicLark,Software Development Tools,Yokohama,3/18/2022,6,25.92
155,92,1,EchoElite Pro,Technology & Gadgets,Tokyo,3/19/2022,3,412.94
156,82,3,LoopLyric,Creative & Design Tools,Yokohama,3/19/2022,5,310.52
157,66,2,ModuleMuse Pro,Creative & Design Tools,Osaka,3/20/2022,8,439.45
158,5,3,SyntaxSage,Software Development Tools,Yokohama,3/20/2022,8,194.47
159,65,2,SyntaxSeeker,Software Development Tools,Osaka,3/21/2022,1,194.61
160,26,3,AlgoAria,Technology & Gadgets,Yokohama,3/21/2022,9,485.12
161,27,1,ScriptSeeker,Software Development Tools,Tokyo,3/22/2022,1,239.64
162,99,3,PixelPioneer Pro,Creative & Design Tools,Yokohama,3/22/2022,1,16.79
163,5,2,SyntaxSage,Software Development Tools,Osaka,3/23/2022,3,282.12
164,55,2,VarVenture,Educational Tools,Osaka,3/23/2022,1,271.8
165,53,1,BinaryBlaze,Technology & Gadgets,Tokyo,3/24/2022,3,131.23
166,78,1,AlgoAir,Technology & Gadgets,Tokyo,3/24/2022,1,477.36
167,77,2,PixelPilot Plus,Creative & Design Tools,Osaka,3/25/2022,1,339.07
168,32,2,CodeCruise,Software Development Tools,Osaka,3/25/2022,8,20.96
169,34,2,LoopLuxe,Creative & Design Tools,Osaka,3/26/2022,6,417.27
170,50,1,MethodMajesty,Educational Tools,Tokyo,3/26/2022,6,484.17
171,94,2,SyntaxStar Plus,Software Development Tools,Osaka,3/27/2022,9,299.03
172,47,3,PixelPulse Pro,Creative & Design Tools,Yokohama,3/27/2022,5,313.9
173,66,3,ModuleMuse Pro,Creative & Design Tools,Yokohama,3/28/2022,3,452.43
174,64,2,LogicLark,Software Development Tools,Osaka,3/28/2022,6,307.91
175,52,1,CodeComet,Software Development Tools,Tokyo,3/29/2022,6,230.93
176,82,2,LoopLyric,Creative & Design Tools,Osaka,3/29/2022,3,452.92
177,79,2,ClassCruise,Educational Tools,Osaka,3/30/2022,7,266.53
178,81,1,EchoEngine Pro,Technology & Gadgets,Tokyo,3/30/2022,4,235.06
179,17,2,DataDrift,Data Analysis & Management,Osaka,3/31/2022,1,136.57
180,88,1,VarVista Pro,Educational Tools,Tokyo,3/31/2022,2,314.14
181,66,1,ModuleMuse Pro,Creative & Design Tools,Tokyo,4/1/2022,3,273.23
182,23,3,BinaryBloom,Creative & Design Tools,Yokohama,4/1/2022,6,351.79
183,4,1,ByteBreeze,Creative & Design Tools,Tokyo,4/2/2022,3,438.3
184,27,1,ScriptSeeker,Software Development Tools,Tokyo,4/2/2022,2,304.9
185,92,2,EchoElite Pro,Technology & Gadgets,Osaka,4/3/2022,6,53.53
186,51,3,FlowFusion,Technology & Gadgets,Yokohama,4/3/2022,5,92.83
187,1,1,CodeNest IDE,Software Development Tools,Tokyo,4/4/2022,9,184.44
188,46,2,AlgoAtlas,Data Analysis & Management,Osaka,4/4/2022,1,256.65
189,45,3,EchoElite,Technology & Gadgets,Yokohama,4/5/2022,9,55.29
190,47,1,PixelPulse Pro,Creative & Design Tools,Tokyo,4/5/2022,6,50.13
191,94,3,SyntaxStar Plus,Software Development Tools,Yokohama,4/6/2022,1,145.7
192,1,1,CodeNest IDE,Software Development Tools,Tokyo,4/6/2022,3,100.46
193,79,3,ClassCruise,Educational Tools,Yokohama,4/7/2022,8,247.39
194,90,3,ModuleMagic,Technology & Gadgets,Yokohama,4/7/2022,8,362.98
195,3,3,AlgoCraft,Creative & Design Tools,Yokohama,4/8/2022,7,260.69
196,26,2,AlgoAria,Technology & Gadgets,Osaka,4/8/2022,8,75.29
197,15,1,LoopLark,Creative & Design Tools,Tokyo,4/9/2022,7,194.87
198,18,2,PixelPulse,Creative & Design Tools,Osaka,4/9/2022,6,270.95
199,74,3,DataDive,Data Analysis & Management,Yokohama,4/10/2022,9,421.84
200,86,2,CodeCatalyst,Software Development Tools,Osaka,4/10/2022,9,446.24
201,18,3,PixelPulse,Creative & Design Tools,Yokohama,4/11/2022,4,273.15
202,84,1,MethodMajesty Pro,Educational Tools,Tokyo,4/11/2022,4,184.01
203,83,2,SyntaxScribe,Software Development Tools,Osaka,4/12/2022,9,175.36
204,34,3,LoopLuxe,Creative & Design Tools,Yokohama,4/12/2022,8,297.36
205,52,2,CodeComet,Software Development Tools,Osaka,4/13/2022,2,129.77
206,59,1,AlgoAurora,Creative & Design Tools,Tokyo,4/13/2022,6,306.78
207,70,3,CodeCove,Software Development Tools,Yokohama,4/14/2022,4,426.79
208,33,1,BinaryBard,Software Development Tools,Tokyo,4/14/2022,6,120.45
209,3,3,AlgoCraft,Creative & Design Tools,Yokohama,4/15/2022,8,351.44
210,62,2,MethodMingle Pro,Educational Tools,Osaka,4/15/2022,8,449.3
211,92,3,EchoElite Pro,Technology & Gadgets,Yokohama,4/16/2022,4,12.69
212,24,3,CodeCanvas,Software Development Tools,Yokohama,4/16/2022,6,204.95
213,94,2,SyntaxStar Plus,Software Development Tools,Osaka,4/17/2022,3,412.12
214,66,3,ModuleMuse Pro,Creative & Design Tools,Yokohama,4/17/2022,8,243.52
215,45,1,EchoElite,Technology & Gadgets,Tokyo,4/18/2022,6,484.18
216,68,3,FunctionFusion Pro,Software Development Tools,Yokohama,4/18/2022,4,258.7
217,12,3,BitBard,Software Development Tools,Yokohama,4/19/2022,1,309.15
218,64,2,LogicLark,Software Development Tools,Osaka,4/19/2022,5,257.96
219,100,1,LogicLyric,Software Development Tools,Tokyo,4/20/2022,3,35.47
220,50,2,MethodMajesty,Educational Tools,Osaka,4/20/2022,5,41.13
221,44,2,SyntaxStar,Software Development Tools,Osaka,4/21/2022,8,406.74
222,65,3,SyntaxSeeker,Software Development Tools,Yokohama,4/21/2022,5,11.42
223,9,3,DevDive,Software Development Tools,Yokohama,4/22/2022,8,306.94
224,35,2,StringStream,Software Development Tools,Osaka,4/22/2022,1,426.75
225,9,2,DevDive,Software Development Tools,Osaka,4/23/2022,3,42.66
226,60,2,LoopLantern,Creative & Design Tools,Osaka,4/23/2022,5,368.05
227,40,2,LambdaLark,Educational Tools,Osaka,4/24/2022,8,415.59
228,14,2,ClassCast,Educational Tools,Osaka,4/24/2022,3,90.54
229,5,3,SyntaxSage,Software Development Tools,Yokohama,4/25/2022,4,164.95
230,42,1,FlowFlare,Technology & Gadgets,Tokyo,4/25/2022,2,410.04
231,97,3,AlgoAria Pro,Technology & Gadgets,Yokohama,4/26/2022,1,123.82
232,39,2,BitBreeze,Creative & Design Tools,Osaka,4/26/2022,3,315.76
233,53,3,BinaryBlaze,Technology & Gadgets,Yokohama,4/27/2022,7,67.34
234,97,3,AlgoAria Pro,Technology & Gadgets,Yokohama,4/27/2022,7,270.58
235,6,3,PixelPilot,Creative & Design Tools,Yokohama,4/28/2022,7,367.89
236,42,3,FlowFlare,Technology & Gadgets,Yokohama,4/28/2022,1,271.36
237,27,3,ScriptSeeker,Software Development Tools,Yokohama,4/29/2022,1,26.51
238,27,1,ScriptSeeker,Software Development Tools,Tokyo,4/29/2022,6,378.59
239,97,2,AlgoAria Pro,Technology & Gadgets,Osaka,4/30/2022,6,272.84
240,86,2,CodeCatalyst,Software Development Tools,Osaka,4/30/2022,5,439.5
241,47,1,PixelPulse Pro,Creative & Design Tools,Tokyo,5/1/2022,8,305.89
242,15,1,LoopLark,Creative & Design Tools,Tokyo,5/1/2022,8,83.52
243,47,1,PixelPulse Pro,Creative & Design Tools,Tokyo,5/2/2022,2,16.07
244,36,2,ModuleMajesty,Technology & Gadgets,Osaka,5/2/2022,5,415.03
245,74,2,DataDive,Data Analysis & Management,Osaka,5/3/2022,6,206.41
246,47,2,PixelPulse Pro,Creative & Design Tools,Osaka,5/3/2022,8,257.86
247,76,1,BinaryBard Pro,Software Development Tools,Tokyo,5/4/2022,8,21.37
248,89,1,StringStream Pro,Software Development Tools,Tokyo,5/4/2022,8,437.23
249,92,3,EchoElite Pro,Technology & Gadgets,Yokohama,5/5/2022,9,217.82
250,29,2,PixelPioneer,Creative & Design Tools,Osaka,5/5/2022,8,421.71
251,11,3,FunctionFusion,Software Development Tools,Yokohama,5/6/2022,1,65.55
252,21,2,LambdaLuxe,Educational Tools,Osaka,5/6/2022,4,71.15
253,57,1,ByteBliss,Creative & Design Tools,Tokyo,5/7/2022,6,264.2
254,40,3,LambdaLark,Educational Tools,Yokohama,5/7/2022,5,195.86
255,53,1,BinaryBlaze,Technology & Gadgets,Tokyo,5/8/2022,4,395.93
256,26,1,AlgoAria,Technology & Gadgets,Tokyo,5/8/2022,3,205.1
257,82,3,LoopLyric,Creative & Design Tools,Yokohama,5/9/2022,2,459.92
258,25,2,LogicLantern,Software Development Tools,Osaka,5/9/2022,6,179.72
259,43,3,VarVista,Educational Tools,Yokohama,5/10/2022,3,131.66
260,25,3,LogicLantern,Software Development Tools,Yokohama,5/10/2022,4,215.27
261,88,1,VarVista Pro,Educational Tools,Tokyo,5/11/2022,1,392.35
262,22,2,EchoEngine,Technology & Gadgets,Osaka,5/11/2022,2,335.07
263,71,1,StringStar,Software Development Tools,Tokyo,5/12/2022,4,234.89
264,20,2,VarVoyage,Educational Tools,Osaka,5/12/2022,6,51.89
265,61,1,ScriptSage,Software Development Tools,Tokyo,5/13/2022,7,301.69
266,13,2,ModuleMuse,Creative & Design Tools,Osaka,5/13/2022,7,219.12
267,56,3,LambdaLyric,Educational Tools,Yokohama,5/14/2022,1,27.99
268,30,3,SyntaxSail,Software Development Tools,Yokohama,5/14/2022,2,154.1
269,47,2,PixelPulse Pro,Creative & Design Tools,Osaka,5/15/2022,2,271.85
270,94,2,SyntaxStar Plus,Software Development Tools,Osaka,5/15/2022,3,86.12
271,32,2,CodeCruise,Software Development Tools,Osaka,5/16/2022,3,325.5
272,1,1,CodeNest IDE,Software Development Tools,Tokyo,5/16/2022,7,473.47
273,97,3,AlgoAria Pro,Technology & Gadgets,Yokohama,5/17/2022,7,86.57
274,50,3,MethodMajesty,Educational Tools,Yokohama,5/17/2022,8,23.36
275,67,3,EchoEssence,Technology & Gadgets,Yokohama,5/18/2022,1,282.76
276,67,3,EchoEssence,Technology & Gadgets,Yokohama,5/18/2022,8,61.08
277,78,2,AlgoAir,Technology & Gadgets,Osaka,5/19/2022,4,472.63
278,8,2,FlowForge,Technology & Gadgets,Osaka,5/19/2022,3,129.19
279,54,1,CircuitCanvas,Creative & Design Tools,Tokyo,5/20/2022,7,449.09
280,7,2,LogicLoom,Software Development Tools,Osaka,5/20/2022,7,370.51
281,85,3,CircuitCraft,Creative & Design Tools,Yokohama,5/21/2022,3,295.65
282,60,2,LoopLantern,Creative & Design Tools,Osaka,5/21/2022,2,456.09
283,69,3,BitBard Plus,Software Development Tools,Yokohama,5/22/2022,2,187.91
284,12,1,BitBard,Software Development Tools,Tokyo,5/22/2022,5,210.61
285,99,2,PixelPioneer Pro,Creative & Design Tools,Osaka,5/23/2022,6,391.99
286,94,1,SyntaxStar Plus,Software Development Tools,Tokyo,5/23/2022,2,431.82
287,81,2,EchoEngine Pro,Technology & Gadgets,Osaka,5/24/2022,8,492.69
288,87,1,DevDynamo Plus,Software Development Tools,Tokyo,5/24/2022,2,21.09
289,14,1,ClassCast,Educational Tools,Tokyo,5/25/2022,8,352.36
290,25,3,LogicLantern,Software Development Tools,Yokohama,5/25/2022,9,78.34
291,4,2,ByteBreeze,Creative & Design Tools,Osaka,5/26/2022,2,143.46
292,75,2,VarVoyager,Educational Tools,Osaka,5/26/2022,2,269.5
293,42,1,FlowFlare,Technology & Gadgets,Tokyo,5/27/2022,6,42.99
294,37,1,DataDream,Data Analysis & Management,Tokyo,5/27/2022,6,416.47
295,87,1,DevDynamo Plus,Software Development Tools,Tokyo,5/28/2022,6,77.13
296,57,3,ByteBliss,Creative & Design Tools,Yokohama,5/28/2022,6,368.69
297,10,1,CircuitScribe,Creative & Design Tools,Tokyo,5/29/2022,1,215.19
298,98,1,CodeCruise Plus,Software Development Tools,Tokyo,5/29/2022,9,252.17
299,65,3,SyntaxSeeker,Software Development Tools,Yokohama,5/30/2022,5,305.5
300,92,2,EchoElite Pro,Technology & Gadgets,Osaka,5/30/2022,2,91.53
301,11,1,FunctionFusion,Software Development Tools,Tokyo,5/31/2022,7,309.05
302,26,1,AlgoAria,Technology & Gadgets,Tokyo,5/31/2022,5,420.07
303,54,2,CircuitCanvas,Creative & Design Tools,Osaka,6/1/2022,7,335.14
304,22,1,EchoEngine,Technology & Gadgets,Tokyo,6/1/2022,8,115.36
305,36,3,ModuleMajesty,Technology & Gadgets,Yokohama,6/2/2022,4,89.44
306,81,2,EchoEngine Pro,Technology & Gadgets,Osaka,6/2/2022,2,315.38
307,17,1,DataDrift,Data Analysis & Management,Tokyo,6/3/2022,9,355.34
308,66,1,ModuleMuse Pro,Creative & Design Tools,Tokyo,6/3/2022,9,46.89
309,42,1,FlowFlare,Technology & Gadgets,Tokyo,6/4/2022,7,47.28
310,44,3,SyntaxStar,Software Development Tools,Yokohama,6/4/2022,6,299.17
311,74,1,DataDive,Data Analysis & Management,Tokyo,6/5/2022,7,265.41
312,19,1,MethodMingle,Educational Tools,Tokyo,6/5/2022,1,77.1
313,12,2,BitBard,Software Development Tools,Osaka,6/6/2022,8,381.53
314,95,1,LambdaLegend,Educational Tools,Tokyo,6/6/2022,1,332.74
315,89,3,StringStream Pro,Software Development Tools,Yokohama,6/7/2022,9,472.46
316,80,2,FlowFleet,Technology & Gadgets,Osaka,6/7/2022,8,132.37
317,47,2,PixelPulse Pro,Creative & Design Tools,Osaka,6/8/2022,7,499.54
318,26,1,AlgoAria,Technology & Gadgets,Tokyo,6/8/2022,6,458.47
319,14,3,ClassCast,Educational Tools,Yokohama,6/9/2022,5,368.12
320,48,2,DataDynamo,Data Analysis & Management,Osaka,6/9/2022,7,399.62
321,95,2,LambdaLegend,Educational Tools,Osaka,6/10/2022,4,423.72
322,18,3,PixelPulse,Creative & Design Tools,Yokohama,6/10/2022,7,28.22
323,43,2,VarVista,Educational Tools,Osaka,6/11/2022,7,208.19
324,31,3,BitBliss,Creative & Design Tools,Yokohama,6/11/2022,2,443.54
325,39,3,BitBreeze,Creative & Design Tools,Yokohama,6/12/2022,8,274.32
326,93,2,DataDream Pro,Data Analysis & Management,Osaka,6/12/2022,9,371.47
327,42,2,FlowFlare,Technology & Gadgets,Osaka,6/13/2022,7,100.93
328,33,1,BinaryBard,Software Development Tools,Tokyo,6/13/2022,2,22.04
329,18,3,PixelPulse,Creative & Design Tools,Yokohama,6/14/2022,7,14.74
330,29,2,PixelPioneer,Creative & Design Tools,Osaka,6/14/2022,1,206.94
331,57,3,ByteBliss,Creative & Design Tools,Yokohama,6/15/2022,9,386.37
332,25,3,LogicLantern,Software Development Tools,Yokohama,6/15/2022,7,266
333,14,2,ClassCast,Educational Tools,Osaka,6/16/2022,2,155.21
334,65,2,SyntaxSeeker,Software Development Tools,Osaka,6/16/2022,1,64.2
335,62,1,MethodMingle Pro,Educational Tools,Tokyo,6/17/2022,9,145.89
336,53,2,BinaryBlaze,Technology & Gadgets,Osaka,6/17/2022,9,63.7
337,88,3,VarVista Pro,Educational Tools,Yokohama,6/18/2022,5,395.22
338,43,2,VarVista,Educational Tools,Osaka,6/18/2022,7,440.66
